id,article,order,hm_answer,hm_correct,accuracy,confidence,language_errors,factual_errors,group,how_often_do_you_read_news,tv2_nyhederne,dr,politiken,information,berlingske,jyllands_posten,b.t,ekstra_bladet,dagens.dk,zetland,other_media,gpt3_knowledge,error
2,X214,16,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,no error
2,X215,5,2,2,1,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,no error
2,X216,1,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,factual error
6,X301,1,1,1,1,1,2,2,3,1,2,2,1,2,1,1,2,1,1,2,1,1,factual error
6,X302,15,1,1,1,3,1,2,3,1,2,2,1,2,1,1,2,1,1,2,1,1,language error
6,X303,4,2,1,0,2,2,2,3,1,2,2,1,2,1,1,2,1,1,2,1,1,both errors
6,X304,13,2,1,0,3,2,2,3,1,2,2,1,2,1,1,2,1,1,2,1,1,no error
6,X305,2,1,1,1,3,2,2,3,1,2,2,1,2,1,1,2,1,1,2,1,1,factual error
6,X306,9,2,1,0,2,2,2,3,1,2,2,1,2,1,1,2,1,1,2,1,1,language error
6,X307,3,2,1,0,1,2,2,3,1,2,2,1,2,1,1,2,1,1,2,1,1,no error
6,X308,16,2,1,0,2,1,2,3,1,2,2,1,2,1,1,2,1,1,2,1,1,no error
6,X309,11,1,2,0,2,2,2,3,1,2,2,1,2,1,1,2,1,1,2,1,1,factual error
6,X310,7,1,2,0,2,1,2,3,1,2,2,1,2,1,1,2,1,1,2,1,1,factual error
6,X311,8,1,2,0,3,2,2,3,1,2,2,1,2,1,1,2,1,1,2,1,1,no error
6,X312,10,1,2,0,4,2,2,3,1,2,2,1,2,1,1,2,1,1,2,1,1,both errors
6,X313,5,1,2,0,1,1,2,3,1,2,2,1,2,1,1,2,1,1,2,1,1,no error
6,X314,14,1,2,0,5,1,1,3,1,2,2,1,2,1,1,2,1,1,2,1,1,no error
6,X315,12,1,2,0,2,2,2,3,1,2,2,1,2,1,1,2,1,1,2,1,1,no error
6,X316,6,1,2,0,2,1,2,3,1,2,2,1,2,1,1,2,1,1,2,1,1,no error
4,X401,2,2,1,0,2,2,2,4,4,2,2,2,1,1,2,2,2,1,2,1,2,both errors
4,X402,11,2,1,0,4,2,2,4,4,2,2,2,1,1,2,2,2,1,2,1,2,no error
4,X403,9,2,1,0,3,2,2,4,4,2,2,2,1,1,2,2,2,1,2,1,2,no error
4,X404,16,2,1,0,4,2,1,4,4,2,2,2,1,1,2,2,2,1,2,1,2,no error
4,X405,4,1,1,1,2,2,2,4,4,2,2,2,1,1,2,2,2,1,2,1,2,no error
4,X406,8,2,1,0,2,2,2,4,4,2,2,2,1,1,2,2,2,1,2,1,2,no error
4,X407,12,2,1,0,4,2,2,4,4,2,2,2,1,1,2,2,2,1,2,1,2,no error
4,X408,1,2,1,0,5,2,2,4,4,2,2,2,1,1,2,2,2,1,2,1,2,factual error
4,X409,5,1,2,0,2,2,2,4,4,2,2,2,1,1,2,2,2,1,2,1,2,language error
4,X410,6,2,2,1,3,2,2,4,4,2,2,2,1,1,2,2,2,1,2,1,2,no error
4,X411,7,2,2,1,2,2,2,4,4,2,2,2,1,1,2,2,2,1,2,1,2,no error
4,X412,15,1,2,0,4,2,2,4,4,2,2,2,1,1,2,2,2,1,2,1,2,no error
4,X413,14,2,2,1,2,2,2,4,4,2,2,2,1,1,2,2,2,1,2,1,2,no error
4,X414,10,2,2,1,3,2,2,4,4,2,2,2,1,1,2,2,2,1,2,1,2,no error
4,X415,3,1,2,0,4,2,2,4,4,2,2,2,1,1,2,2,2,1,2,1,2,factual error
4,X416,13,2,2,1,3,2,2,4,4,2,2,2,1,1,2,2,2,1,2,1,2,no error
3,X501,16,1,1,1,2,1,1,5,3,1,2,1,1,1,1,1,1,1,2,1,1,language error
3,X502,4,2,1,0,2,2,2,5,3,1,2,1,1,1,1,1,1,1,2,1,1,no error
3,X503,9,2,1,0,2,2,2,5,3,1,2,1,1,1,1,1,1,1,2,1,1,no error
3,X504,8,1,1,1,2,2,1,5,3,1,2,1,1,1,1,1,1,1,2,1,1,no error
3,X505,13,2,1,0,3,1,2,5,3,1,2,1,1,1,1,1,1,1,2,1,1,no error
3,X506,6,1,1,1,4,2,1,5,3,1,2,1,1,1,1,1,1,1,2,1,1,no error
3,X507,12,2,1,0,2,2,1,5,3,1,2,1,1,1,1,1,1,1,2,1,1,no error
3,X508,14,1,1,1,2,2,2,5,3,1,2,1,1,1,1,1,1,1,2,1,1,no error
3,X509,15,2,2,1,4,2,1,5,3,1,2,1,1,1,1,1,1,1,2,1,1,no error
3,X510,1,2,2,1,3,2,2,5,3,1,2,1,1,1,1,1,1,1,2,1,1,no error
3,X511,3,1,2,0,1,1,1,5,3,1,2,1,1,1,1,1,1,1,2,1,1,factual error
3,X512,2,2,2,1,4,2,2,5,3,1,2,1,1,1,1,1,1,1,2,1,1,both errors
3,X513,7,1,2,0,2,1,1,5,3,1,2,1,1,1,1,1,1,1,2,1,1,no error
3,X514,5,1,2,0,4,1,1,5,3,1,2,1,1,1,1,1,1,1,2,1,1,no error
3,X515,11,2,2,1,3,2,1,5,3,1,2,1,1,1,1,1,1,1,2,1,1,no error
3,X516,10,2,2,1,5,2,1,5,3,1,2,1,1,1,1,1,1,1,2,1,1,no error
5,X601,16,1,1,1,3,2,1,6,3,2,2,1,1,2,1,1,1,1,1,1,3,no error
5,X602,11,1,1,1,4,2,2,6,3,2,2,1,1,2,1,1,1,1,1,1,3,factual error
5,X603,7,2,1,0,2,2,2,6,3,2,2,1,1,2,1,1,1,1,1,1,3,factual error
5,X604,4,2,1,0,2,1,1,6,3,2,2,1,1,2,1,1,1,1,1,1,3,language error
5,X605,2,1,1,1,2,2,2,6,3,2,2,1,1,2,1,1,1,1,1,1,3,no error
5,X606,5,2,1,0,4,1,2,6,3,2,2,1,1,2,1,1,1,1,1,1,3,language error
5,X607,10,2,1,0,2,2,2,6,3,2,2,1,1,2,1,1,1,1,1,1,3,factual error
5,X608,6,1,1,1,4,2,1,6,3,2,2,1,1,2,1,1,1,1,1,1,3,language error
5,X609,12,1,2,0,2,2,1,6,3,2,2,1,1,2,1,1,1,1,1,1,3,no error
5,X610,9,2,2,1,4,2,2,6,3,2,2,1,1,2,1,1,1,1,1,1,3,language error
5,X611,14,1,2,0,2,2,2,6,3,2,2,1,1,2,1,1,1,1,1,1,3,no error
5,X612,1,2,2,1,3,1,2,6,3,2,2,1,1,2,1,1,1,1,1,1,3,no error
5,X613,8,1,2,0,3,2,2,6,3,2,2,1,1,2,1,1,1,1,1,1,3,no error
5,X614,13,1,2,0,3,2,1,6,3,2,2,1,1,2,1,1,1,1,1,1,3,no error
5,X615,15,2,2,1,2,2,1,6,3,2,2,1,1,2,1,1,1,1,1,1,3,no error
5,X616,3,2,2,1,4,2,2,6,3,2,2,1,1,2,1,1,1,1,1,1,3,no error
